iter	Logloss
0	0.6053356288
1	0.5319608466
2	0.4717939451
3	0.4203487552
4	0.3764073466
5	0.3378980602
6	0.3046540128
7	0.2758276125
8	0.2505140914
9	0.2281434854
10	0.2083030375
11	0.1908036699
12	0.1755008087
13	0.1618897508
14	0.1496892899
15	0.1388746297
16	0.1285591299
17	0.1196820453
18	0.1118602408
19	0.1048732517
20	0.09837602799
21	0.09225899115
22	0.0869511438
23	0.0822337797
24	0.07773865041
25	0.07378566608
26	0.07016442231
27	0.06693498601
28	0.06416155743
29	0.0614031139
30	0.05898444323
31	0.05671006115
32	0.05474266514
33	0.0525838595
34	0.05095715724
35	0.0495126156
36	0.04798631504
37	0.04649959659
38	0.04530081559
39	0.04411814929
40	0.04311657323
41	0.04198855565
42	0.04113035261
43	0.0403499671
44	0.03965652271
45	0.03887842657
46	0.03844547391
47	0.03771838636
48	0.03711870282
49	0.03658318505
50	0.03612926095
51	0.03563240236
52	0.03515744251
53	0.03480285598
54	0.03434855375
55	0.03394282962
56	0.03356005537
57	0.03321422716
58	0.03302681597
59	0.03274716043
60	0.03246616939
61	0.03213157132
62	0.03182987157
63	0.03168819337
64	0.0313854984
65	0.03121201008
66	0.0309689127
67	0.03074492653
68	0.03049378045
69	0.0302948759
70	0.03010189392
71	0.02989463105
72	0.02973095349
73	0.0295506734
74	0.02937391678
75	0.02920022495
76	0.0289935588
77	0.02883051961
78	0.0287163979
79	0.02857082515
80	0.02849630896
81	0.02834192351
82	0.0281969307
83	0.0280773668
84	0.02796885368
85	0.02784536699
86	0.02767388456
87	0.02759474138
88	0.02750156245
89	0.02732391371
90	0.02721361391
91	0.02710048822
92	0.02703090115
93	0.02689515626
94	0.02680846676
95	0.026670752
96	0.02654752815
97	0.02647113028
98	0.02631276173
99	0.02615830863
100	0.02600871579
101	0.02588139376
102	0.0257591768
103	0.02571468035
104	0.02563944953
105	0.0255660113
106	0.02550865539
107	0.02545018166
108	0.02537005542
109	0.02528143309
110	0.02520871667
111	0.02509231927
112	0.02501513094
113	0.02490808438
114	0.02485464521
115	0.02476539942
116	0.02470687739
117	0.02463971594
118	0.02456129158
119	0.02446733456
120	0.02442335027
121	0.02437075626
122	0.02432857206
123	0.02429527959
124	0.02422477775
125	0.02413242034
126	0.02407674855
127	0.02402299162
128	0.02399196828
129	0.02388434493
130	0.02384290085
131	0.02379724674
132	0.02370816968
133	0.02367287046
134	0.02356908835
135	0.02354235352
136	0.02350729754
137	0.02346735144
138	0.02343429303
139	0.02340288636
140	0.02330613532
141	0.02326208218
142	0.02322382273
143	0.02318679581
144	0.02315594709
145	0.0231231828
146	0.02309090617
147	0.02300929972
148	0.02293743398
149	0.02280518708
150	0.02276081355
151	0.0227188059
152	0.02267302246
153	0.02262649087
154	0.02255732595
155	0.02252398364
156	0.02245978329
157	0.02244173148
158	0.02240839525
159	0.02233221835
160	0.02227727697
161	0.0222167592
162	0.0221662177
163	0.02211315393
164	0.0220682762
